pageId,pageName,adArchiveId,startDate,endDate,runDays,collationCount,familyAds,activeFamilyAds,familyPageCount,familyDateSpanDays,reuseScore,phase,bodyText,title,displayFormat,landingDomain,creativeKey,sampleAdIds
,Go Amaze|Arrows GO！|Amaze GO！|Arrow Go|Amaze Go GO！,1001510742284784,2026-06-09,2026-07-03,26,6,2986,2975,3,25,12103,Amaze GO(2986),🏹 Find Your Flow with Amaze GO! 🪐,Amaze GO! - Your Puzzle Master 2026,,,4d89f69ac4002b781dbd2b6833e71abe28cfb931,1001510742284784|1340961804669401|1348298917285320|976359891858821|878423708642457|979336861744570|1629658288122997|1393941389250174|1656008732181860|2082786632311085|2244092529778289|1024563899974884
,Arrows GO GO|Arrows GO - puzzle game|Go Arrow|Go Amaze|Arrow Go|Arrows GO！|Amaze GO！,1894803367837693,2026-03-19,2026-07-03,82,39,2291,2197,5,107,9728,Arrows GO(1377); Amaze GO(914),🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,,,638d4a5a153b6d3a31455cac225408cbf0c9dcdc,1894803367837693|26897740886496506|4798327420403710|2250180909144850|1585076659664443|1042079071589032|1296467455900319|1305426538312355|1340691228034157|1372843934744513|1381916870418105|1778848789895570
,Arrows GO GO|Go Arrow|Arrow Go|Arrows GO！|Arrows GO - escape|Amaze GO！,979601298070836,2026-03-19,2026-07-03,89,38,406,347,5,107,2229,Arrows GO(392); Amaze GO(14),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,,,eab3b5488ecf8baa706f12e71a9966ffbe646c52,979601298070836|1682426292897844|4464836973753673|1039481485626329|1529314265350609|1668842590863995|1825352381774666|2512203875947620|1028017052932090|1336774951889793|1365520245486485|3231402293733533
,Go Arrow|Arrow Go|Amaze Go GO！|Arrows GO！|Go Amaze|Amaze GO！,1314389517455615,2026-03-31,2026-07-03,96,26,414,362,3,95,2144,Arrows GO(264); Amaze GO(150),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",,,209dd2ce65cc60d1e584e9ba7c9a9435d3bf647f,1314389517455615|1477480480446239|2465137720614710|2834217303637204|34609331472048164|1438821640844283|1881208532835649|1488124636388655|1606856183862363|1640277823678311|1826437904940601|1854376491940308
,Arrows GO GO|Arrows GO - puzzle game|Arrows GO！|Arrows GO - escape,1273979198042345,2026-03-23,2026-07-02,45,20,171,12,4,102,937,Arrows GO(171),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! 2026 for Brain Training,,,87ccfa5315ac5ef0f4a7bd036d5333077ece02b0,1273979198042345|1303305738427888|1713399879650738|928180110070616|1561571581603971|1676209620393132|992929143244604|1356577289821392|916292214505167|979115571464058|943137435269712|1479211846976669
,Arrows GO！,1249164484080733,2026-04-07,2026-07-03,37,15,45,42,1,88,474,Arrows GO(45),🧠 Challenge your brain and find your way to victory! 🏹,Arrows Go! - Your Puzzle Master 2026,,,bf5fc641694b6d92b3944b3f6058d36918a7f87b,1249164484080733|1552002673117312|1591018562371751|2539664063152607|28567345856186621|990387890529198|1722912352058244|1020388457612803|1674497530469155|1573039027494360|1521767199418942|1339562727624399
,Go Arrow|Arrow Go|Arrows GO！,1269018365211119,2026-03-17,2026-07-02,32,27,10,2,3,108,465,Arrows GO(10),Arrows GO - The Only Arrows Puzzle Game You'll Ever Need,A Satisfying Brain Teaser,,,65c091098ce0609e37ea7b9470aa7d3e32bf7f87,1269018365211119|1484383503081843|2782274618801732|2499658730481650|3107334756323825|1376474324246290|1286612879594743|1386430943390871|1365283219039327|1015565421199377
,Go Amaze,1006590108796090,2026-06-10,2026-06-30,25,1,74,74,1,21,390,Amaze GO(74),🏹 Finde deinen Flow mit Amaze GO! 🪐,Amaze GO! - Dein Puzzle-Meister 2026,,,9fc55213ab8398c878ee4a7b664080b59d68ce9b,1006590108796090|1007374774996576|1014713387767741|1016426180763157|1021951593860656|1022071247481712|1029771796240590|1031908392704966|1041321418388368|1060176466669348|1203857495199045|1213759107442303
,Go Amaze|Arrows GO GO,2058551001675886,2026-03-23,2026-06-20,28,1,51,45,2,90,382,Amaze GO(45); Arrows GO(6),"🧩 Toque, limpe e relaxe com Arrows Go! 🌟✨",Arrows Go! 2026: Treino Cerebral,,,e7a9fc6c91b2b85a9e69432ff2a56c61f4855fbc,2058551001675886|1490550315844549|1860120484698646|1486223059740715|1529816355235109|1617296226141104|1470474804475935|1003131775416684|1012206174853470|1011906871291327|1039848968549216|1089212534283514
,Arrows GO！|Amaze GO！,1735583120736864,2026-04-19,2026-07-02,9,18,31,30,1,75,375,Arrows GO(23); Amaze GO(8),🚦 Take a logic break and tap your stress away! 🎯,"Arrows Go! - Tap, Move, and Clear",,,bdd947e626512eb8e75a1a84830fd8ac3ae932a1,1735583120736864|989353637255034|1026096253712677|1668506087707395|1719175345787833|1529934471929349|1606621157767329|1009360015225658|1047955417682410|1613207410225152|1946158599366434|2351710248686296
,Arrows GO！,1246673994344119,2026-04-01,2026-04-02,95,2,32,32,1,2,351,Arrows GO(32),🏹 Find Your Flow with Arrows Go!,"Arrows Go! - Tap, Move, and Clear",,,9cdd3616a4b31483077edc2eeb1154db3a7cbf0a,1246673994344119|1305270321748312|1452910349835983|1590258798698196|888897647508252|933976689224084|1854648488541416|1602077201075414|34669016306076410|1852929412013379|3361367280699716|973799538410829
,Go Arrow|Arrows GO！,1047703361181752,2026-06-29,2026-07-02,6,1,70,70,2,4,334,Arrows GO(70),🏹 Encontre seu ritmo com Arrows Go!,Arrows Go! - Seu Mestre da Puzzle 2026,,,a30522a0e125a5610b6e72daf31ce0fab72de3e6,1047703361181752|1081257037813543|1305043738281374|1325736205799763|1350216043911012|1489571429062943|1544358013768403|1581059723601050|1664370422359845|1670923640848662|1776841927061165|1793346008700940
,Go Arrow|Arrow Go|Arrows GO！,1246629710406268,2026-03-20,2026-06-29,58,1,13,11,3,102,321,Arrows GO(13),,Arrows GO!,,,415438c8f68532dc50ef35a7c837c2ef6f41bd3e,1246629710406268|933613056227794|1001994545565065|1253993083476702|1313553696964084|1343957187579843|1498656485037094|1524766425700408|2087616571784378|3936923099948724|4398307437077896|979693251474438
,Arrows GO！,953658243875685,2026-04-16,2026-04-16,80,1,23,23,1,1,276,Arrows GO(23),🏹 Arrows Go ile Akışını Bul!,Arrows Go! - Bulmaca Ustası 2026,,,966b2e6342c410e05fab4cd07dd2845f5b560e6e,953658243875685|3052970351759572|1310694134285515|1618302039462109|1981937719353573|1764977511139814|1223475942951854|965496405882233|1995361404741489|1264221522577181|1330800255763683|1271372591228822
,Arrows GO！,1615409443016705,2026-04-16,2026-04-21,80,1,21,21,1,6,273,Arrows GO(21),Znajdź swój przepływ z Arrows Go!,Arrows Go! - Mistrz Układanek 2026,,,552302c7a4fd5bd422f4a3a9d90277d0e644793e,1615409443016705|26514390558171842|2159156974871141|1332702885391717|1638928570486844|816283468202480|933198632836130|943514448429975|846811618429101|1499805018175793|2415702365534249|2047225849536746
,Go Arrow,1005597328926179,2026-06-29,2026-07-03,6,1,40,40,1,5,200,Arrows GO(40),🏹 Arrows Go!로 흐름을 타세요!,Arrows Go! - 당신의 퍼즐 마스터 2026,,,6a04bbbe89ac9eeda25bf8d937e874fb8e2702b7,1005597328926179|1015887121028766|1032423206010395|1033301895863648|1042427905399442|1062096746288461|1250264523713105|1311240234331194|1330358305310119|1332424599077763|1344324123724157|1357168523277466
,Go Arrow,1004393672378202,2026-06-29,2026-07-02,6,1,35,35,1,4,179,Arrows GO(35),🏹 Arrows Go! で流れに乗ろう！,Arrows Go! - あなたのパズルマスター 2026,,,e188ad441c9e624097c5e76745e4aebb2eb3261e,1004393672378202|1016108747582071|1032365096401629|1042462124970716|1044786564909762|1050894007380187|1323844246537239|1334744308843376|1366900088656568|1369139125322085|1400796321903661|1507496761175515
,Go Arrow,1003273905917614,2026-06-29,2026-07-02,6,1,26,26,1,4,143,Arrows GO(26),🏹 ¡Encuentra tu ritmo con Arrows Go!,¡Arrows Go! - Tu Puzzle Master 2026,,,63a3925907396337616a7c748f695eb29111bd4e,1003273905917614|1015859994165343|1023717400626447|1032363576192836|1263866255644647|1307916117992860|1316789917297049|1324297089891361|1515212393430466|1531759238694101|1602114545248224|1842780816695113
,Arrows GO！,1327861559558899,2026-07-02,2026-07-03,3,1,21,21,1,2,115,Arrows GO(21),"🎯 Your ""puzzle time"" just got more satisfying! 💖",Arrows Go! - Your Puzzle Master 2026,,,cd21334c33ae9e6c8b26d4521948513c0e909e28,1327861559558899|899691179325668|1580783403674551|1947322065978943|1554891372961336|1544524820584543|1754172459278415|4566449886945934|1803774903924053|1475957517893019|1495118421820735|2541735656262569
,Arrow Go,1024011030214339,2026-07-02,2026-07-03,3,1,12,12,1,2,79,Arrows GO(12),🚦 Take a logic break and tap your stress away! 🎯,Arrows Go! - Your Puzzle Master 2026,,,aa9f00d2171167f2705a52795bfd71c5bb62c626,1024011030214339|1299285001958274|1326735739178617|1335760238666601|1347833470028599|1367432878693359|2088916091981721|3054558098209596|4512294949003921|999085382935676|1329593305945936|1651997415883497
